hub,trade_date,delivery_start,delivery_end,price_high,price_low,price_wtd_avg,price_change,volume_mwh,num_trades,num_counterparties,source_file
ERCOT North 345KV Peak,2014-04-14,2014-04-15,2014-04-15,55.0,53.0,54.2916666666667,12.54,24000.0,29,15,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-15,2014-04-16,2014-04-16,41.5,40.5,41.04838709677419,-13.24,24800.0,29,15,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-16,2014-04-17,2014-04-17,41.5,40.75,41.1666666666667,0.12,7200.0,9,11,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-17,2014-04-18,2014-04-18,44.0,42.0,43.1875,2.02,6400.0,7,7,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-21,2014-04-22,2014-04-22,55.25,55.0,55.0357142857143,11.85,11200.0,14,11,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-22,2014-04-23,2014-04-23,50.5,50.0,50.25,-4.79,2400.0,3,6,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-23,2014-04-24,2014-04-24,59.0,58.0,58.359375,8.11,12800.0,15,12,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-24,2014-04-25,2014-04-25,53.0,50.5,52.01326530612239,-6.35,39200.0,39,9,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-25,2014-04-28,2014-04-28,58.5,57.4,57.684615384615405,5.67,10400.0,13,10,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-28,2014-04-29,2014-04-29,43.75,41.5,43.0861111111111,-14.59,14400.0,18,10,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-29,2014-04-30,2014-04-30,40.0,39.25,39.575,-3.51,16000.0,20,10,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-04-30,2014-05-01,2014-05-01,41.5,40.25,41.0625,1.48,16000.0,20,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-01,2014-05-02,2014-05-02,42.0,40.050000000000004,40.8289473684211,-0.23,15200.0,19,8,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-02,2014-05-05,2014-05-05,54.0,53.0,53.1293103448276,12.3,23200.0,27,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-05,2014-05-06,2014-05-06,46.0,45.0,45.75,-7.38,9600.0,10,9,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-06,2014-05-07,2014-05-07,44.0,43.0,43.425000000000004,-2.32,8000.0,10,9,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-07,2014-05-08,2014-05-08,44.5,44.0,44.086956521739104,0.66,18400.0,22,11,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-08,2014-05-09,2014-05-09,52.25,50.0,51.0625,6.97,12800.0,12,11,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-09,2014-05-12,2014-05-12,44.25,43.5,43.6458333333333,-7.41,19200.0,24,9,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-12,2014-05-13,2014-05-13,37.25,36.75,37.050000000000004,-6.6,8800.0,11,9,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-13,2014-05-14,2014-05-14,35.5,35.25,35.4038461538462,-1.65,10400.0,13,11,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-14,2014-05-15,2014-05-15,37.25,37.0,37.03235294117649,1.63,13600.0,16,12,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-15,2014-05-16,2014-05-16,37.25,36.5,36.775,-0.25,8000.0,8,9,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-16,2014-05-19,2014-05-19,39.5,38.5,38.875,2.1,6400.0,7,9,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-19,2014-05-20,2014-05-20,40.0,38.25,39.1022727272727,0.22,17600.0,22,15,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-20,2014-05-21,2014-05-21,40.5,40.0,40.1666666666667,1.07,2400.0,3,6,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-21,2014-05-22,2014-05-22,43.0,42.75,42.95,2.78,4000.0,5,5,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-22,2014-05-23,2014-05-23,41.75,40.75,41.3,-1.65,16800.0,15,10,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-23,2014-05-27,2014-05-27,41.5,41.0,41.1,-0.2,4000.0,4,5,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-27,2014-05-28,2014-05-28,38.0,38.0,38.0,-3.1,800.0,1,2,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-28,2014-05-29,2014-05-29,40.550000000000004,40.0,40.452000000000005,2.45,20000.0,22,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-29,2014-05-30,2014-05-30,45.0,43.5,44.5583333333333,4.11,24000.0,22,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-05-30,2014-06-02,2014-06-02,47.75,46.5,47.09375,2.5300000000000002,6400.0,8,7,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-02,2014-06-03,2014-06-03,48.0,47.0,47.4,0.31,4000.0,5,6,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-03,2014-06-04,2014-06-04,51.0,48.75,49.675925925925895,2.2800000000000002,21600.0,26,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-04,2014-06-05,2014-06-05,46.0,45.5,45.7586956521739,-3.92,18400.0,23,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-05,2014-06-06,2014-06-06,44.25,42.5,43.6136363636364,-2.15,8800.0,11,12,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-06,2014-06-05,2014-06-05,46.0,45.5,45.7586956521739,-3.92,18400.0,23,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-09,2014-06-10,2014-06-10,42.5,42.0,42.25,-0.58,7200.0,9,8,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-10,2014-06-11,2014-06-11,45.0,45.0,45.0,2.75,6400.0,8,7,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-11,2014-06-12,2014-06-12,48.0,46.0,46.79,1.79,20000.0,24,12,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-12,2014-06-13,2014-06-13,44.0,44.0,44.0,-2.79,4000.0,5,4,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-13,2014-06-16,2014-06-16,46.0,46.0,46.0,2.0,8800.0,11,8,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-16,2014-06-17,2014-06-17,45.0,44.5,44.875,-1.12,6400.0,8,7,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-17,2014-06-18,2014-06-18,45.0,44.0,44.3125,-0.5700000000000001,3200.0,4,5,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-18,2014-06-19,2014-06-19,45.75,45.0,45.4615384615385,1.1500000000000001,10400.0,13,10,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-19,2014-06-20,2014-06-20,47.25,46.5,47.0,1.54,9600.0,10,10,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-20,2014-06-23,2014-06-23,50.25,50.0,50.15,3.15,12000.0,15,10,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-23,2014-06-24,2014-06-24,42.0,41.0,41.75,-8.4,4000.0,5,6,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-24,2014-06-25,2014-06-25,44.0,43.75,43.9,2.15,4000.0,5,5,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-25,2014-06-26,2014-06-26,41.0,40.75,40.8333333333333,-3.07,2400.0,3,3,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-26,2014-06-27,2014-06-27,41.0,40.25,40.5625,-0.27,3200.0,4,6,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-27,2014-06-30,2014-06-30,46.5,45.0,45.7862068965517,5.23,23200.0,26,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-06-30,2014-07-01,2014-07-01,46.0,45.5,45.8653846153846,0.08,10400.0,13,11,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-07-01,2014-07-02,2014-07-02,48.5,47.5,47.929166666666696,2.06,19200.0,20,13,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-07-02,2014-07-03,2014-07-03,44.5,44.0,44.0625,-3.87,19200.0,24,11,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-07-03,2014-07-07,2014-07-07,46.75,46.75,46.75,2.69,6400.0,8,5,data/ice_electric-2014final.xls
ERCOT North 345KV Peak,2014-07-07,2014-07-08,2014-07-08,44.75,44.0,44.3863636363636,-2.36,8800.0,9,10,data/ice_electric-2014final.xls
