DATE,TMAX,TMIN,HUB
2001-01-01,62.25,35.75,palo
2001-01-02,63.75,36.0,palo
2001-01-03,64.75,38.25,palo
2001-01-04,66.25,36.0,palo
2001-01-05,66.25,37.75,palo
2001-01-06,64.5,40.75,palo
2001-01-07,63.5,38.25,palo
2001-01-08,61.0,39.5,palo
2001-01-09,53.25,41.25,palo
2001-01-10,57.25,38.0,palo
2001-01-11,58.5,38.5,palo
2001-01-12,55.0,35.75,palo
2001-01-13,52.75,35.5,palo
2001-01-14,53.75,32.25,palo
2001-01-15,53.25,33.5,palo
2001-01-16,49.0,35.0,palo
2001-01-17,47.75,32.5,palo
2001-01-18,50.75,28.75,palo
2001-01-19,53.0,29.25,palo
2001-01-20,59.25,33.75,palo
2001-01-21,61.0,32.25,palo
2001-01-22,59.75,40.0,palo
2001-01-23,58.0,36.333333333333336,palo
2001-01-24,59.333333333333336,35.0,palo
2001-01-25,57.75,37.75,palo
2001-01-26,55.5,33.75,palo
2001-01-27,52.75,36.5,palo
2001-01-28,48.25,35.25,palo
2001-01-29,52.75,32.5,palo
2001-01-30,52.0,35.5,palo
2001-01-31,51.75,31.25,palo
2001-02-01,56.0,33.75,palo
2001-02-02,59.5,34.5,palo
2001-02-03,66.25,37.5,palo
2001-02-04,72.5,43.75,palo
2001-02-05,73.75,42.25,palo
2001-02-06,74.75,44.75,palo
2001-02-07,63.25,43.75,palo
2001-02-08,52.25,36.5,palo
2001-02-09,55.0,31.0,palo
2001-02-10,60.0,33.25,palo
2001-02-11,62.0,35.75,palo
2001-02-12,64.75,36.0,palo
2001-02-13,61.5,39.0,palo
2001-02-14,53.5,37.25,palo
2001-02-15,54.75,34.25,palo
2001-02-16,59.25,33.25,palo
2001-02-17,63.0,36.25,palo
2001-02-18,69.5,44.0,palo
2001-02-19,69.5,40.25,palo
2001-02-20,68.75,44.5,palo
2001-02-21,70.25,40.5,palo
2001-02-22,71.75,43.0,palo
2001-02-23,61.5,44.0,palo
2001-02-24,57.0,37.75,palo
2001-02-25,59.0,43.0,palo
2001-02-26,59.75,44.5,palo
2001-02-27,57.75,41.75,palo
2001-02-28,53.25,38.5,palo
2001-03-01,57.5,38.0,palo
2001-03-02,60.25,38.0,palo
2001-03-03,61.75,39.5,palo
2001-03-04,65.5,40.25,palo
2001-03-05,70.5,46.0,palo
2001-03-06,68.0,49.75,palo
2001-03-07,60.5,47.75,palo
2001-03-08,63.75,44.5,palo
2001-03-09,66.75,46.0,palo
2001-03-10,59.25,44.25,palo
2001-03-11,60.0,42.5,palo
2001-03-12,64.75,40.5,palo
2001-03-13,69.5,41.5,palo
2001-03-14,73.5,44.5,palo
2001-03-15,68.5,42.5,palo
2001-03-16,71.5,43.75,palo
2001-03-17,66.5,45.75,palo
2001-03-18,73.5,43.5,palo
2001-03-19,77.75,46.5,palo
2001-03-20,82.0,49.25,palo
2001-03-21,85.0,51.0,palo
2001-03-22,82.0,55.25,palo
2001-03-23,80.5,53.25,palo
2001-03-24,79.75,51.75,palo
2001-03-25,81.5,51.25,palo
2001-03-26,80.0,53.75,palo
2001-03-27,78.25,51.5,palo
2001-03-28,79.75,49.75,palo
2001-03-29,77.75,52.0,palo
2001-03-30,78.5,51.25,palo
2001-03-31,81.0,50.5,palo
2001-04-01,83.66666666666667,50.666666666666664,palo
2001-04-02,80.0,57.0,palo
2001-04-03,74.75,53.75,palo
2001-04-04,74.25,52.25,palo
2001-04-05,68.75,51.0,palo
2001-04-06,64.5,48.25,palo
2001-04-07,68.75,44.25,palo
2001-04-08,68.5,45.25,palo
2001-04-09,70.25,44.25,palo
2001-04-10,64.25,42.25,palo
2001-04-11,65.25,39.5,palo
2001-04-12,68.0,43.75,palo
2001-04-13,70.25,44.5,palo
2001-04-14,80.25,49.5,palo
2001-04-15,82.25,50.5,palo
2001-04-16,87.5,51.0,palo
2001-04-17,87.5,53.5,palo
2001-04-18,89.75,56.0,palo
2001-04-19,83.5,61.75,palo
2001-04-20,75.75,55.5,palo
2001-04-21,69.5,47.0,palo
2001-04-22,69.5,45.25,palo
2001-04-23,79.0,46.25,palo
2001-04-24,87.0,55.0,palo
2001-04-25,90.75,61.0,palo
2001-04-26,91.75,61.25,palo
2001-04-27,90.5,61.0,palo
2001-04-28,87.75,59.25,palo
2001-04-29,87.25,59.25,palo
2001-04-30,91.0,58.75,palo
2001-05-01,95.25,59.25,palo
2001-05-02,87.5,60.5,palo
2001-05-03,78.5,58.5,palo
2001-05-04,76.25,51.25,palo
